"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
East Flatbush,Individuals,2019,Number,28160,317
Canarsie,Individuals,2019,Number,26708,318
Battery Park/Tribeca,Individuals,2019,Number,2163,101
Greenwich Village,Individuals,2019,Number,2729,102
Lower East Side,Individuals,2019,Number,35323,103
Chelsea/Clinton,Individuals,2019,Number,11404,104
Midtown Business District,Individuals,2019,Number,5525,105
Murray Hill/Stuyvesant,Individuals,2019,Number,4981,106
Upper West Side,Individuals,2019,Number,15501,107
Upper East Side,Individuals,2019,Number,5273,108
Manhattanville,Individuals,2019,Number,20553,109
Central Harlem,Individuals,2019,Number,30031,110
East Harlem,Individuals,2019,Number,39946,111
Washington Heights,Individuals,2019,Number,42565,112
Astoria,Individuals,2019,Number,20911,401
Sunnyside/Woodside,Individuals,2019,Number,10066,402
Jackson Heights,Individuals,2019,Number,21923,403
Elmhurst/Corona,Individuals,2019,Number,23221,404
Ridgewood/Glendale,Individuals,2019,Number,16601,405
Rego Park/Forest Hills,Individuals,2019,Number,9450,406
Flushing,Individuals,2019,Number,24753,407
Fresh Meadows/Briarwood,Individuals,2019,Number,16530,408
Woodhaven,Individuals,2019,Number,19604,409
Howard Beach,Individuals,2019,Number,14837,410
Bayside,Individuals,2019,Number,6427,411
Jamaica/St. Albans,Individuals,2019,Number,40884,412
Queens Village,Individuals,2019,Number,18259,413
The Rockaways,Individuals,2019,Number,27559,414
St. George,Individuals,2019,Number,34943,501
South Beach,Individuals,2019,Number,13633,502
Tottenville,Individuals,2019,Number,9591,503
Bronx,Individuals,2019,Number,422752,36005
Brooklyn,Individuals,2019,Number,535431,36047
Manhattan,Individuals,2019,Number,215994,36061
Queens,Individuals,2019,Number,271025,36081
Staten Island,Individuals,2019,Number,58167,36085
New York City,Individuals,2019,Number,1503369,3651000
Mott Haven,Households,2019,Number,22681,201
Hunts Point,Households,2019,Number,11318,202
Morrisania,Households,2019,Number,21518,203
Concourse/Highbridge,Households,2019,Number,29095,204
University Heights,Households,2019,Number,27772,205
East Tremont,Households,2019,Number,20036,206
Bedford Park,Households,2019,Number,24395,207
Riverdale,Households,2019,Number,9177,208
Unionport/Soundview,Households,2019,Number,27111,209
Throgs Neck,Households,2019,Number,10288,210
Pelham Parkway,Households,2019,Number,13099,211
Williamsbridge,Households,2019,Number,19366,212
Williamsburg/Greenpoint,Households,2019,Number,19580,301
Fort Greene/Brooklyn Hts,Households,2019,Number,8554,302
Bedford Stuyvesant,Households,2019,Number,22449,303
Bushwick,Households,2019,Number,13700,304
East New York,Households,2019,Number,34055,305
Park Slope,Households,2019,Number,6511,306
Sunset Park,Households,2019,Number,11670,307
Crown Heights North,Households,2019,Number,12226,308
Crown Heights South,Households,2019,Number,11792,309
Bay Ridge,Households,2019,Number,9491,310
Bensonhurst,Households,2019,Number,19920,311
Borough Park,Households,2019,Number,18865,312
Coney Island,Households,2019,Number,20214,313
Flatbush/Midwood,Households,2019,Number,16880,314
Sheepshead Bay,Households,2019,Number,16422,315
Brownsville,Households,2019,Number,19827,316
East Flatbush,Households,2019,Number,18092,317
Canarsie,Households,2019,Number,16132,318
Battery Park/Tribeca,Households,2019,Number,1757,101
Greenwich Village,Households,2019,Number,2218,102
Lower East Side,Households,2019,Number,24279,103
Chelsea/Clinton,Households,2019,Number,8557,104
Midtown Business District,Households,2019,Number,3765,105
Murray Hill/Stuyvesant,Households,2019,Number,4305,106
Upper West Side,Households,2019,Number,11673,107
Upper East Side,Households,2019,Number,4203,108
Manhattanville,Households,2019,Number,13569,109
Central Harlem,Households,2019,Number,19299,110
East Harlem,Households,2019,Number,25173,111
Washington Heights,Households,2019,Number,29289,112
Astoria,Households,2019,Number,12642,401
Sunnyside/Woodside,Households,2019,Number,6364,402
Jackson Heights,Households,2019,Number,12716,403
Elmhurst/Corona,Households,2019,Number,13626,404
Ridgewood/Glendale,Households,2019,Number,9792,405
Rego Park/Forest Hills,Households,2019,Number,6680,406
Flushing,Households,2019,Number,16435,407
Fresh Meadows/Briarwood,Households,2019,Number,10122,408
Woodhaven,Households,2019,Number,11469,409
Howard Beach,Households,2019,Number,9019,410
Bayside,Households,2019,Number,4371,411
Jamaica/St. Albans,Households,2019,Number,25104,412
Queens Village,Households,2019,Number,11836,413
The Rockaways,Households,2019,Number,15003,414
St. George,Households,2019,Number,18614,501
South Beach,Households,2019,Number,8100,502
Tottenville,Households,2019,Number,6136,503
Bronx,Households,2019,Number,235856,36005
Brooklyn,Households,2019,Number,296380,36047
Manhattan,Households,2019,Number,148087,36061
Queens,Households,2019,Number,165179,36081
Staten Island,Households,2019,Number,32850,36085
New York City,Households,2019,Number,878352,3651000
Battery Park/Tribeca,Households,2018,Percent,0.05792,101
Greenwich Village,Households,2018,Percent,0.05525,102
Lower East Side,Households,2018,Percent,0.35729,103
Chelsea/Clinton,Households,2018,Percent,0.14047,104
Midtown Business District,Households,2018,Percent,0.10441,105
Murray Hill/Stuyvesant,Households,2018,Percent,0.0541,106
Upper West Side,Households,2018,Percent,0.12886,107
Upper East Side,Households,2018,Percent,0.04103,108
Manhattanville,Households,2018,Percent,0.29852,109
Central Harlem,Households,2018,Percent,0.37106,110
East Harlem,Households,2018,Percent,0.5411,111
Washington Heights,Households,2018,Percent,0.43958,112
Mott Haven,Households,2018,Percent,0.69372,201
Hunts Point,Households,2018,Percent,0.62198,202
Morrisania,Households,2018,Percent,0.74977,203
Concourse/Highbridge,Households,2018,Percent,0.64747,204
University Heights,Households,2018,Percent,0.63532,205
East Tremont,Households,2018,Percent,0.67279,206
Bedford Park,Households,2018,Percent,0.56925,207
Riverdale,Households,2018,Percent,0.2225,208
Unionport/Soundview,Households,2018,Percent,0.44672,209
Throgs Neck,Households,2018,Percent,0.22893,210
Pelham Parkway,Households,2018,Percent,0.31381,211
Williamsbridge,Households,2018,Percent,0.42907,212
Williamsburg/Greenpoint,Households,2018,Percent,0.31696,301
Fort Greene/Brooklyn Hts,Households,2018,Percent,0.14176,302
Bedford Stuyvesant,Households,2018,Percent,0.43106,303
Bushwick,Households,2018,Percent,0.33373,304
East New York,Households,2018,Percent,0.58264,305
Park Slope,Households,2018,Percent,0.13033,306
Sunset Park,Households,2018,Percent,0.31536,307
Crown Heights North,Households,2018,Percent,0.23925,308
Crown Heights South,Households,2018,Percent,0.28294,309
Bay Ridge,Households,2018,Percent,0.20446,310
Bensonhurst,Households,2018,Percent,0.33769,311
Borough Park,Households,2018,Percent,0.5154,312
Coney Island,Households,2018,Percent,0.45565,313
Flatbush/Midwood,Households,2018,Percent,0.33419,314
Sheepshead Bay,Households,2018,Percent,0.29272,315
Brownsville,Households,2018,Percent,0.40745,316
East Flatbush,Households,2018,Percent,0.37296,317
Canarsie,Households,2018,Percent,0.24401,318
Astoria,Households,2018,Percent,0.18871,401
Sunnyside/Woodside,Households,2018,Percent,0.12424,402
Jackson Heights,Households,2018,Percent,0.26723,403
Elmhurst/Corona,Households,2018,Percent,0.34361,404
Ridgewood/Glendale,Households,2018,Percent,0.17074,405
Rego Park/Forest Hills,Households,2018,Percent,0.12913,406
Flushing,Households,2018,Percent,0.1996,407
Fresh Meadows/Briarwood,Households,2018,Percent,0.19177,408
Woodhaven,Households,2018,Percent,0.29286,409
Howard Beach,Households,2018,Percent,0.24167,410
Bayside,Households,2018,Percent,0.10153,411
Jamaica/St. Albans,Households,2018,Percent,0.35025,412
Queens Village,Households,2018,Percent,0.20991,413
The Rockaways,Households,2018,Percent,0.38051,414
St. George,Households,2018,Percent,0.32423,501
South Beach,Households,2018,Percent,0.17846,502
Tottenville,Households,2018,Percent,0.10473,503
Bronx,Households,2018,Percent,0.49814,36005
Brooklyn,Households,2018,Percent,0.32645,36047
Manhattan,Households,2018,Percent,0.21002,36061
Queens,Households,2018,Percent,0.22559,36081
Staten Island,Households,2018,Percent,0.20565,36085
New York City,Households,2018,Percent,0.29499,3651000
Battery Park/Tribeca,Individuals,2018,Percent,0.03658,101
Greenwich Village,Individuals,2018,Percent,0.03499,102
Lower East Side,Individuals,2018,Percent,0.24418,103
Chelsea/Clinton,Individuals,2018,Percent,0.10578,104
Midtown Business District,Individuals,2018,Percent,0.07676,105
Murray Hill/Stuyvesant,Individuals,2018,Percent,0.03419,106
Upper West Side,Individuals,2018,Percent,0.08621,107
Upper East Side,Individuals,2018,Percent,0.02752,108
Manhattanville,Individuals,2018,Percent,0.15849,109
Central Harlem,Individuals,2018,Percent,0.23515,110
East Harlem,Individuals,2018,Percent,0.39087,111
Washington Heights,Individuals,2018,Percent,0.22962,112
Mott Haven,Individuals,2018,Percent,0.43657,201
Hunts Point,Individuals,2018,Percent,0.38541,202
Morrisania,Individuals,2018,Percent,0.49375,203
Concourse/Highbridge,Individuals,2018,Percent,0.43349,204
University Heights,Individuals,2018,Percent,0.41512,205
East Tremont,Individuals,2018,Percent,0.44395,206
Bedford Park,Individuals,2018,Percent,0.35881,207
Riverdale,Individuals,2018,Percent,0.13948,208
Unionport/Soundview,Individuals,2018,Percent,0.2959,209
Throgs Neck,Individuals,2018,Percent,0.14804,210
Pelham Parkway,Individuals,2018,Percent,0.19428,211
Williamsbridge,Individuals,2018,Percent,0.27696,212
Williamsburg/Greenpoint,Individuals,2018,Percent,0.32464,301
Fort Greene/Brooklyn Hts,Individuals,2018,Percent,0.09456,302
Bedford Stuyvesant,Individuals,2018,Percent,0.29636,303
Bushwick,Individuals,2018,Percent,0.21906,304
East New York,Individuals,2018,Percent,0.37108,305
Park Slope,Individuals,2018,Percent,0.08571,306
Sunset Park,Individuals,2018,Percent,0.17733,307
Crown Heights North,Individuals,2018,Percent,0.15857,308
Crown Heights South,Individuals,2018,Percent,0.19264,309
Bay Ridge,Individuals,2018,Percent,0.13915,310
Bensonhurst,Individuals,2018,Percent,0.20343,311
Borough Park,Individuals,2018,Percent,0.45944,312
Coney Island,Individuals,2018,Percent,0.29155,313
Flatbush/Midwood,Individuals,2018,Percent,0.21536,314
Sheepshead Bay,Individuals,2018,Percent,0.18236,315
Brownsville,Individuals,2018,Percent,0.30046,316
East Flatbush,Individuals,2018,Percent,0.2303,317
Canarsie,Individuals,2018,Percent,0.14442,318
Astoria,Individuals,2018,Percent,0.14231,401
Sunnyside/Woodside,Individuals,2018,Percent,0.07998,402
Jackson Heights,Individuals,2018,Percent,0.14752,403
Elmhurst/Corona,Individuals,2018,Percent,0.18405,404
Ridgewood/Glendale,Individuals,2018,Percent,0.10255,405
Rego Park/Forest Hills,Individuals,2018,Percent,0.08656,406
Flushing,Individuals,2018,Percent,0.1105,407
Fresh Meadows/Briarwood,Individuals,2018,Percent,0.10886,408
Woodhaven,Individuals,2018,Percent,0.16412,409
Howard Beach,Individuals,2018,Percent,0.12623,410
Bayside,Individuals,2018,Percent,0.05599,411
Jamaica/St. Albans,Individuals,2018,Percent,0.18694,412
Queens Village,Individuals,2018,Percent,0.10339,413
The Rockaways,Individuals,2018,Percent,0.2288,414
St. George,Individuals,2018,Percent,0.21831,501
South Beach,Individuals,2018,Percent,0.1023,502
Tottenville,Individuals,2018,Percent,0.06041,503
Bronx,Individuals,2018,Percent,0.32559,36005
Brooklyn,Individuals,2018,Percent,0.2283,36047
Manhattan,Individuals,2018,Percent,0.14502,36061
Queens,Individuals,2018,Percent,0.13224,36081
Staten Island,Individuals,2018,Percent,0.13045,36085
New York City,Individuals,2018,Percent,0.19713,3651000
Battery Park/Tribeca,Individuals,2019,Percent,0.03256,101
Greenwich Village,Individuals,2019,Percent,0.02783,102
Lower East Side,Individuals,2019,Percent,0.21135,103
Chelsea/Clinton,Individuals,2019,Percent,0.10229,104
Midtown Business District,Individuals,2019,Percent,0.09901,105
Murray Hill/Stuyvesant,Individuals,2019,Percent,0.03355,106
Upper West Side,Individuals,2019,Percent,0.08627,107
Upper East Side,Individuals,2019,Percent,0.02431,108
Manhattanville,Individuals,2019,Percent,0.15472,109
Central Harlem,Individuals,2019,Percent,0.22025,110
East Harlem,Individuals,2019,Percent,0.35841,111
Washington Heights,Individuals,2019,Percent,0.20855,112
Mott Haven,Individuals,2019,Percent,0.44907,201
Hunts Point,Individuals,2019,Percent,0.38493,202
Morrisania,Individuals,2019,Percent,0.46635,203
Concourse/Highbridge,Individuals,2019,Percent,0.36997,204
University Heights,Individuals,2019,Percent,0.36649,205
East Tremont,Individuals,2019,Percent,0.417,206
Bedford Park,Individuals,2019,Percent,0.28026,207
Riverdale,Individuals,2019,Percent,0.14649,208
Unionport/Soundview,Individuals,2019,Percent,0.27505,209
Throgs Neck,Individuals,2019,Percent,0.15102,210
Pelham Parkway,Individuals,2019,Percent,0.17857,211
Williamsbridge,Individuals,2019,Percent,0.23642,212
Williamsburg/Greenpoint,Individuals,2019,Percent,0.32695,301
Fort Greene/Brooklyn Hts,Individuals,2019,Percent,0.09511,302
Bedford Stuyvesant,Individuals,2019,Percent,0.28872,303
Bushwick,Individuals,2019,Percent,0.17484,304
East New York,Individuals,2019,Percent,0.32901,305
Park Slope,Individuals,2019,Percent,0.08553,306
Sunset Park,Individuals,2019,Percent,0.15028,307
Crown Heights North,Individuals,2019,Percent,0.14695,308
Crown Heights South,Individuals,2019,Percent,0.18159,309
Bay Ridge,Individuals,2019,Percent,0.13078,310
Bensonhurst,Individuals,2019,Percent,0.178,311
Borough Park,Individuals,2019,Percent,0.38047,312
Coney Island,Individuals,2019,Percent,0.26179,313
Flatbush/Midwood,Individuals,2019,Percent,0.1809,314
Sheepshead Bay,Individuals,2019,Percent,0.17749,315
Brownsville,Individuals,2019,Percent,0.27317,316
East Flatbush,Individuals,2019,Percent,0.20705,317
Canarsie,Individuals,2019,Percent,0.13565,318
Astoria,Individuals,2019,Percent,0.12592,401
Sunnyside/Woodside,Individuals,2019,Percent,0.07398,402
Jackson Heights,Individuals,2019,Percent,0.12508,403
Elmhurst/Corona,Individuals,2019,Percent,0.14878,404
Ridgewood/Glendale,Individuals,2019,Percent,0.10007,405
Rego Park/Forest Hills,Individuals,2019,Percent,0.0895,406
Flushing,Individuals,2019,Percent,0.10319,407
Fresh Meadows/Briarwood,Individuals,2019,Percent,0.09812,408
Woodhaven,Individuals,2019,Percent,0.13637,409
Howard Beach,Individuals,2019,Percent,0.12513,410
Bayside,Individuals,2019,Percent,0.0561,411
Jamaica/St. Albans,Individuals,2019,Percent,0.16945,412
Queens Village,Individuals,2019,Percent,0.09099,413
The Rockaways,Individuals,2019,Percent,0.22638,414
St. George,Individuals,2019,Percent,0.19832,501
South Beach,Individuals,2019,Percent,0.09837,502
Tottenville,Individuals,2019,Percent,0.05944,503
Bronx,Individuals,2019,Percent,0.29809,36005
Brooklyn,Individuals,2019,Percent,0.20916,36047
Manhattan,Individuals,2019,Percent,0.13262,36061
Queens,Individuals,2019,Percent,0.12025,36081
Staten Island,Individuals,2019,Percent,0.12216,36085
New York City,Individuals,2019,Percent,0.18033,3651000
Battery Park/Tribeca,Households,2019,Percent,0.05321,101
Greenwich Village,Households,2019,Percent,0.0455,102
Lower East Side,Households,2019,Percent,0.30658,103
Chelsea/Clinton,Households,2019,Percent,0.13526,104
Midtown Business District,Households,2019,Percent,0.11891,105
Murray Hill/Stuyvesant,Households,2019,Percent,0.05492,106
Upper West Side,Households,2019,Percent,0.12454,107
Upper East Side,Households,2019,Percent,0.03885,108
Manhattanville,Households,2019,Percent,0.27763,109
Central Harlem,Households,2019,Percent,0.34056,110
East Harlem,Households,2019,Percent,0.50255,111
Washington Heights,Households,2019,Percent,0.38342,112
Mott Haven,Households,2019,Percent,0.65581,201
Hunts Point,Households,2019,Percent,0.57311,202
Morrisania,Households,2019,Percent,0.69883,203
Concourse/Highbridge,Households,2019,Percent,0.58114,204
University Heights,Households,2019,Percent,0.6009,205
East Tremont,Households,2019,Percent,0.62331,206
Bedford Park,Households,2019,Percent,0.48326,207
Riverdale,Households,2019,Percent,0.21546,208
Unionport/Soundview,Households,2019,Percent,0.41415,209
Throgs Neck,Households,2019,Percent,0.2203,210
Pelham Parkway,Households,2019,Percent,0.29258,211
Williamsbridge,Households,2019,Percent,0.38475,212
Williamsburg/Greenpoint,Households,2019,Percent,0.3035,301
Fort Greene/Brooklyn Hts,Households,2019,Percent,0.14089,302
Bedford Stuyvesant,Households,2019,Percent,0.3997,303
Bushwick,Households,2019,Percent,0.27976,304
East New York,Households,2019,Percent,0.54103,305
Park Slope,Households,2019,Percent,0.13917,306
Sunset Park,Households,2019,Percent,0.27155,307
Crown Heights North,Households,2019,Percent,0.22056,308
Crown Heights South,Households,2019,Percent,0.26293,309
Bay Ridge,Households,2019,Percent,0.19389,310
Bensonhurst,Households,2019,Percent,0.30298,311
Borough Park,Households,2019,Percent,0.43172,312
Coney Island,Households,2019,Percent,0.42435,313
Flatbush/Midwood,Households,2019,Percent,0.29115,314
Sheepshead Bay,Households,2019,Percent,0.29621,315
Brownsville,Households,2019,Percent,0.38213,316
East Flatbush,Households,2019,Percent,0.34956,317
Canarsie,Households,2019,Percent,0.22513,318
Astoria,Households,2019,Percent,0.1728,401
Sunnyside/Woodside,Households,2019,Percent,0.11569,402
Jackson Heights,Households,2019,Percent,0.23777,403
Elmhurst/Corona,Households,2019,Percent,0.2933,404
Ridgewood/Glendale,Households,2019,Percent,0.16326,405
Rego Park/Forest Hills,Households,2019,Percent,0.13805,406
Flushing,Households,2019,Percent,0.18234,407
Fresh Meadows/Briarwood,Households,2019,Percent,0.18067,408
Woodhaven,Households,2019,Percent,0.26645,409
Howard Beach,Households,2019,Percent,0.24116,410
Bayside,Households,2019,Percent,0.10236,411
Jamaica/St. Albans,Households,2019,Percent,0.33142,412
Queens Village,Households,2019,Percent,0.19159,413
The Rockaways,Households,2019,Percent,0.36369,414
St. George,Households,2019,Percent,0.29599,501
South Beach,Households,2019,Percent,0.1714,502
Tottenville,Households,2019,Percent,0.10928,503
Bronx,Households,2019,Percent,0.45896,36005
Brooklyn,Households,2019,Percent,0.30302,36047
Manhattan,Households,2019,Percent,0.19277,36061
Queens,Households,2019,Percent,0.21054,36081
Staten Island,Households,2019,Percent,0.19754,36085
New York City,Households,2019,Percent,0.27354,3651000
